"List","Title","Description","Points","Due","Members","Labels","Card #","Card URL"
"NEWS","_","","","","","GPK,BUONA VITTA,EXCLUSIVE,BELLA,SNOWLAND,ACQUA,MUSEU,YUP FOZ,YUP RIO","1","https://trello.com/c/Wlk5R6qK"
"NEWS","MIGRAÇÃO DO BD DO PROTHEUS DE LINUX PARA WINDOWS => PENDENTE;","ESPERAR A PASSAGEM DA ALTA TEMPORADA - SOLICITAÇÃO DO EWERSON

MAQUINA QUE NINGUEM TEM USER DE LOGIN

ESPAÇO EM DISK JÁ ESTA POUCO

LOGIN É ROOT NA MAQUINA","","","FF","SNOWLAND","71","https://trello.com/c/6Oz3rRhf"
"NEWS","#12955 - VM GPK-BI - UPGRADE DE MEMÓRIA","","","","FF,A","GPK","67","https://trello.com/c/Cmj122v4"
"NEWS","PROPOSTA DE MELHORIA SISTEMA CFTV + PROPOSTA DE SUPORTE & MANUTENÇÃO","","","","LP","BUONA VITTA,SNOWLAND,ACQUA","72","https://trello.com/c/9qaivHZ4"
"NEWS","ESPAÇO EM DISK PARA SERVER [MAGIC] TRAVEL SNOW","ASSUNTO PRECISA SER ALINHADO COM O EWERSON/LINUX

REDIMENSIONAR PARTIÇÕES

FALAR COM O [deleted account] PARA APOIAR","","","A,LP,FF","SNOWLAND","51","https://trello.com/c/1xknoWJl"
"NEWS","DEFINIR SISTEMA E PROCESSO PARA MAPEAR A RELAÇÃO USUÁRIO X SOFTWARE","Em conversar com o Darlan, ele comentou uma possibilidade de melhoria que hoje faz falta é uma maneira de saber em qual sistema o usuário tem login.

A sugestão dele foi de criar uma planilha e alimentar ela de acordo com a abertura de chamados para criação de acesso, dessa maneira o processo de desativação fica mais simples, uma vez que teremos conhecimento de qual sistema o usuário realmente utiliza ao invés de ter que acessar todas as aplicações procurando.

‌","","","","GPK","89","https://trello.com/c/2wapAB14"
"NEWS","WIFI+RADIUS","EFETUAR A CRIAÇÃO DA AUTENTICAÇÃO VIA RADIUS 
NOS SITES DA GRAMADO PARKS","","","LP","GPK","60","https://trello.com/c/09OMXTh4"
"NEWS","MIGRAR AUTENTICAÇÃO DO FILE SERVER DA YUP FOZ PARA GPK","- Desativar o AD de Foz
- Ingressar VM no domínio da GPK
- Criar os grupos de compartihamentos para as pastas no AD da GPK.
- Alterar as permissões dos compartilhamentos para os grupos do AD da GPK.","","","","YUP FOZ","117","https://trello.com/c/PoWnELGH"
"TO DO","REVOGAR ACESSOS DO GCP DO MIGUEL (EX-HUIA)","QUANDO EO SITE SNOW E ACQUA FICARAM OFFLINE

O MIGUEL ACESSOU NOSSO GCP, OU SEJA, ELE TEM ACESSO DIRETO AO NOSSO AMBIENTE SEM TERMOS ESSE CONTROLE..

PRECISAMOS REMOVER O CERTIFICADO DELE.","","4/7/2023","FF","GPK","106","https://trello.com/c/u76I0w8E"
"TO DO","DESATIVAR ""ARMAZENAMENTO TEMPORÁRIO"" GPK-DC2","","","3/17/2023","FF,A,D","GPK","96","https://trello.com/c/xGk3c65g"
"TO DO","CRONOGRAMA DE MANUTENÇÃO PREVENTIVA SERVIDORES SNOWLAND","Implantar um período para intervenções para execução de atualizações de segurança (windows update) e manutenção básica dos servidores (Verificação rápida dos logs e reinicialização da estrutura).","","","FF,A,D","SNOWLAND","62","https://trello.com/c/QEbp6MRM"
"TO DO","FECHAR FORNECEDOR DE NOBREAKS PARA TODOS OS SITES","","","","LP","GPK","43","https://trello.com/c/2yXd1tCx"
"TO DO","DEFINIR PROCESSO DO PAINEL M365","HOJE O PACOTE OFFICE ESTA NO PAINEL M365
COMO IREMOS NOS POSICIONAR FRENTE QUE HOJE TEMOS GOOGLE WORKSPACE ?
IREMOS CONTINUAR COMPRANDO LICENÇAS M365?
TEMOS COMO REALIZAR ALGUM INTEGRAÇÃO COM NOSSO AD OU GOOGLE ?","","","LP","GPK","40","https://trello.com/c/WbWnj75T"
